Variable1;Valor1;PERIODO;VALOR
Nombre;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector - De acuerdo con el Sistema Estadístico Europeo, las Estadísticas Estructurales de Empresas han implementado para el ejercicio 2018 una nueva aplicación práctica del concepto estadístico de Empresa, según la cual una Empresa Estadística puede estar formada por una Unidad Legal (hasta 2017 siempre era asi) o por varias. Este nuevo criterio afecta a los resultados por actividades y tamaños, por lo que el dato de 2018 basado en la Empresa Estadística no es estrictamente comparable con el de ejercicios anteriores. Bajo el criterio anterior, el dato de 2018 ascenderia a 14,72%.;2020;13,70
Nombre;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector - De acuerdo con el Sistema Estadístico Europeo, las Estadísticas Estructurales de Empresas han implementado para el ejercicio 2018 una nueva aplicación práctica del concepto estadístico de Empresa, según la cual una Empresa Estadística puede estar formada por una Unidad Legal (hasta 2017 siempre era asi) o por varias. Este nuevo criterio afecta a los resultados por actividades y tamaños, por lo que el dato de 2018 basado en la Empresa Estadística no es estrictamente comparable con el de ejercicios anteriores. Bajo el criterio anterior, el dato de 2018 ascenderia a 14,72%.;2019;13,08
Nombre;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector - De acuerdo con el Sistema Estadístico Europeo, las Estadísticas Estructurales de Empresas han implementado para el ejercicio 2018 una nueva aplicación práctica del concepto estadístico de Empresa, según la cual una Empresa Estadística puede estar formada por una Unidad Legal (hasta 2017 siempre era asi) o por varias. Este nuevo criterio afecta a los resultados por actividades y tamaños, por lo que el dato de 2018 basado en la Empresa Estadística no es estrictamente comparable con el de ejercicios anteriores. Bajo el criterio anterior, el dato de 2018 ascenderia a 14,72%.;2018;13,53
Nombre;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector - De acuerdo con el Sistema Estadístico Europeo, las Estadísticas Estructurales de Empresas han implementado para el ejercicio 2018 una nueva aplicación práctica del concepto estadístico de Empresa, según la cual una Empresa Estadística puede estar formada por una Unidad Legal (hasta 2017 siempre era asi) o por varias. Este nuevo criterio afecta a los resultados por actividades y tamaños, por lo que el dato de 2018 basado en la Empresa Estadística no es estrictamente comparable con el de ejercicios anteriores. Bajo el criterio anterior, el dato de 2018 ascenderia a 14,72%.;2017;14,13
Nombre;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector - De acuerdo con el Sistema Estadístico Europeo, las Estadísticas Estructurales de Empresas han implementado para el ejercicio 2018 una nueva aplicación práctica del concepto estadístico de Empresa, según la cual una Empresa Estadística puede estar formada por una Unidad Legal (hasta 2017 siempre era asi) o por varias. Este nuevo criterio afecta a los resultados por actividades y tamaños, por lo que el dato de 2018 basado en la Empresa Estadística no es estrictamente comparable con el de ejercicios anteriores. Bajo el criterio anterior, el dato de 2018 ascenderia a 14,72%.;2016;14,23
Nombre;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector - De acuerdo con el Sistema Estadístico Europeo, las Estadísticas Estructurales de Empresas han implementado para el ejercicio 2018 una nueva aplicación práctica del concepto estadístico de Empresa, según la cual una Empresa Estadística puede estar formada por una Unidad Legal (hasta 2017 siempre era asi) o por varias. Este nuevo criterio afecta a los resultados por actividades y tamaños, por lo que el dato de 2018 basado en la Empresa Estadística no es estrictamente comparable con el de ejercicios anteriores. Bajo el criterio anterior, el dato de 2018 ascenderia a 14,72%.;2015;15,92
Nombre;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector - De acuerdo con el Sistema Estadístico Europeo, las Estadísticas Estructurales de Empresas han implementado para el ejercicio 2018 una nueva aplicación práctica del concepto estadístico de Empresa, según la cual una Empresa Estadística puede estar formada por una Unidad Legal (hasta 2017 siempre era asi) o por varias. Este nuevo criterio afecta a los resultados por actividades y tamaños, por lo que el dato de 2018 basado en la Empresa Estadística no es estrictamente comparable con el de ejercicios anteriores. Bajo el criterio anterior, el dato de 2018 ascenderia a 14,72%.;2014;16,57
Nombre;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector - De acuerdo con el Sistema Estadístico Europeo, las Estadísticas Estructurales de Empresas han implementado para el ejercicio 2018 una nueva aplicación práctica del concepto estadístico de Empresa, según la cual una Empresa Estadística puede estar formada por una Unidad Legal (hasta 2017 siempre era asi) o por varias. Este nuevo criterio afecta a los resultados por actividades y tamaños, por lo que el dato de 2018 basado en la Empresa Estadística no es estrictamente comparable con el de ejercicios anteriores. Bajo el criterio anterior, el dato de 2018 ascenderia a 14,72%.;2013;18,04
Nombre;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector - De acuerdo con el Sistema Estadístico Europeo, las Estadísticas Estructurales de Empresas han implementado para el ejercicio 2018 una nueva aplicación práctica del concepto estadístico de Empresa, según la cual una Empresa Estadística puede estar formada por una Unidad Legal (hasta 2017 siempre era asi) o por varias. Este nuevo criterio afecta a los resultados por actividades y tamaños, por lo que el dato de 2018 basado en la Empresa Estadística no es estrictamente comparable con el de ejercicios anteriores. Bajo el criterio anterior, el dato de 2018 ascenderia a 14,72%.;2012;18,12
Nombre;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector - De acuerdo con el Sistema Estadístico Europeo, las Estadísticas Estructurales de Empresas han implementado para el ejercicio 2018 una nueva aplicación práctica del concepto estadístico de Empresa, según la cual una Empresa Estadística puede estar formada por una Unidad Legal (hasta 2017 siempre era asi) o por varias. Este nuevo criterio afecta a los resultados por actividades y tamaños, por lo que el dato de 2018 basado en la Empresa Estadística no es estrictamente comparable con el de ejercicios anteriores. Bajo el criterio anterior, el dato de 2018 ascenderia a 14,72%.;2011;18,46
Nombre;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector - De acuerdo con el Sistema Estadístico Europeo, las Estadísticas Estructurales de Empresas han implementado para el ejercicio 2018 una nueva aplicación práctica del concepto estadístico de Empresa, según la cual una Empresa Estadística puede estar formada por una Unidad Legal (hasta 2017 siempre era asi) o por varias. Este nuevo criterio afecta a los resultados por actividades y tamaños, por lo que el dato de 2018 basado en la Empresa Estadística no es estrictamente comparable con el de ejercicios anteriores. Bajo el criterio anterior, el dato de 2018 ascenderia a 14,72%.;2010;18,74
Nombre;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector - De acuerdo con el Sistema Estadístico Europeo, las Estadísticas Estructurales de Empresas han implementado para el ejercicio 2018 una nueva aplicación práctica del concepto estadístico de Empresa, según la cual una Empresa Estadística puede estar formada por una Unidad Legal (hasta 2017 siempre era asi) o por varias. Este nuevo criterio afecta a los resultados por actividades y tamaños, por lo que el dato de 2018 basado en la Empresa Estadística no es estrictamente comparable con el de ejercicios anteriores. Bajo el criterio anterior, el dato de 2018 ascenderia a 14,72%.;2009;19,94
Nombre;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector - De acuerdo con el Sistema Estadístico Europeo, las Estadísticas Estructurales de Empresas han implementado para el ejercicio 2018 una nueva aplicación práctica del concepto estadístico de Empresa, según la cual una Empresa Estadística puede estar formada por una Unidad Legal (hasta 2017 siempre era asi) o por varias. Este nuevo criterio afecta a los resultados por actividades y tamaños, por lo que el dato de 2018 basado en la Empresa Estadística no es estrictamente comparable con el de ejercicios anteriores. Bajo el criterio anterior, el dato de 2018 ascenderia a 14,72%.;2008;20,31
